Periode,Region,Churn Sub,EOP
Aug-26,BALI,1855,81005
Aug-26,BANTEN,1541,38008
Aug-26,BOGOR DEPOK,1672,35061
Aug-26,D.I. YOGYAKARTA,97,2931
Aug-26,JABEKA,2903,59879
Aug-26,JAKARTA ARBI,831,23396
Aug-26,JAWA BARAT,1863,43115
Aug-26,JAWA TENGAH,725,17653
Aug-26,JAWA TIMUR,1983,49562
Aug-26,KALIMANTAN SELATAN,242,9604
Aug-26,KEPULAUAN RIAU,0,33
Aug-26,LAMPUNG,172,4375
Aug-26,RIAU,347,6720
Aug-26,SULAWESI SELATAN,483,12004
Aug-26,SUMATRA SELATAN,1697,51537
Aug-26,SUMATRA UTARA,2925,68274
